Date,InvoiceID,DistributorID,SalespersonID,OutletID,ProductID,Quantity,UnitPrice,DiscountPct,DiscountAmount,GrossSales,NetSales,UnitCOGS,TotalCOGS
2025-01-16,INV0000001,DST001,SP001,OUT00001,BV013,12,9500,0.0411,4685,114000,109315,5800,69600
2025-01-16,INV0000001,DST001,SP001,OUT00001,PC011,12,6500,0.0414,3229,78000,74771,3700,44400
2025-01-19,INV0000002,DST001,SP004,OUT00004,PC011,12,6500,0.0244,1903,78000,76097,3700,44400
2025-01-15,INV0000003,DST001,SP001,OUT00006,PC001,12,22000,0.0147,3881,264000,260119,13000,156000
2025-01-21,INV0000004,DST001,SP002,OUT00007,SN004,12,9500,0.0264,3010,114000,110990,5700,68400
2025-01-21,INV0000004,DST001,SP002,OUT00007,SN010,12,10500,0.0489,6161,126000,119839,6300,75600
2025-01-21,INV0000004,DST001,SP002,OUT00007,BV011,30,9000,0.025,6750,270000,263250,5500,165000
2025-01-02,INV0000005,DST001,SP003,OUT00008,SN013,36,8000,0.0572,16474,288000,271526,4700,169200
2025-01-02,INV0000005,DST001,SP003,OUT00008,BV011,18,9000,0.0233,3775,162000,158225,5500,99000
2025-01-01,INV0000006,DST001,SP004,OUT00009,PC003,42,23000,0.0872,84235,966000,881765,13700,575400
2025-01-30,INV0000007,DST001,SP005,OUT00010,PC009,24,19000,0.032,14592,456000,441408,11200,268800
2025-01-30,INV0000007,DST001,SP005,OUT00010,BV010,12,11000,0.004,528,132000,131472,6700,80400
2025-01-12,INV0000008,DST001,SP001,OUT00011,PC004,24,24000,0.0494,28454,576000,547546,14300,343200
2025-01-18,INV0000009,DST001,SP002,OUT00012,SN014,12,10000,0.0429,5148,120000,114852,5900,70800
2025-01-18,INV0000009,DST001,SP002,OUT00012,SN011,24,8500,0.0471,9608,204000,194392,5000,120000
2025-01-07,INV0000010,DST001,SP003,OUT00013,SN005,6,9500,0.0361,2058,57000,54942,5600,33600
2025-01-26,INV0000011,DST001,SP004,OUT00014,BV006,30,9500,0.0591,16844,285000,268156,5800,174000
2025-01-26,INV0000011,DST001,SP004,OUT00014,SN011,24,8500,0.062,12648,204000,191352,5000,120000
2025-01-19,INV0000012,DST001,SP005,OUT00015,PC004,72,24000,0.0578,99878,1728000,1628122,14300,1029600
2025-01-19,INV0000012,DST001,SP005,OUT00015,SN009,24,11000,0.0556,14678,264000,249322,6500,156000
2025-01-19,INV0000012,DST001,SP005,OUT00015,PC001,36,22000,0.102,80784,792000,711216,13000,468000
2025-01-31,INV0000013,DST001,SP003,OUT00018,BV001,12,7500,0.0666,5994,90000,84006,4600,55200
2025-01-24,INV0000014,DST001,SP004,OUT00019,PC008,108,16000,0.1043,180230,1728000,1547770,9300,1004400
2025-01-24,INV0000014,DST001,SP004,OUT00019,SN009,204,11000,0.0994,223054,2244000,2020946,6500,1326000
2025-01-24,INV0000014,DST001,SP004,OUT00019,BV005,96,8500,0.1484,121094,816000,694906,5100,489600
2025-01-24,INV0000015,DST001,SP005,OUT00020,PC001,36,22000,0.0717,56786,792000,735214,13000,468000
2025-01-24,INV0000015,DST001,SP005,OUT00020,SN001,24,9000,0.034,7344,216000,208656,5300,127200
2025-01-05,INV0000016,DST001,SP002,OUT00022,PC012,24,6500,0.0357,5569,156000,150431,3800,91200
2025-01-12,INV0000017,DST001,SP003,OUT00023,BV015,18,10000,0.042,7560,180000,172440,6100,109800
2025-01-18,INV0000018,DST001,SP004,OUT00024,SN006,18,10000,0.0556,10008,180000,169992,6000,108000
2025-01-22,INV0000019,DST001,SP005,OUT00025,BV001,12,7500,0.0376,3384,90000,86616,4600,55200
2025-01-22,INV0000019,DST001,SP005,OUT00025,BV013,18,9500,0.0775,13252,171000,157748,5800,104400
2025-01-22,INV0000019,DST001,SP005,OUT00025,BV011,12,9000,0.0793,8564,108000,99436,5500,66000
2025-01-27,INV0000020,DST001,SP001,OUT00026,PC015,18,18500,0.07,23310,333000,309690,10800,194400
2025-01-27,INV0000020,DST001,SP001,OUT00026,PC006,12,15000,0.0459,8262,180000,171738,8700,104400
2025-01-03,INV0000021,DST001,SP003,OUT00028,SN004,24,9500,0.0475,10830,228000,217170,5700,136800
2025-01-03,INV0000021,DST001,SP003,OUT00028,BV008,30,10000,0.031,9300,300000,290700,6000,180000
2025-01-05,INV0000022,DST001,SP004,OUT00029,SN004,18,9500,0.0105,1796,171000,169204,5700,102600
2025-01-05,INV0000022,DST001,SP004,OUT00029,SN013,12,8000,0.0236,2266,96000,93734,4700,56400
2025-01-01,INV0000023,DST001,SP005,OUT00030,PC008,6,16000,0.0426,4090,96000,91910,9300,55800
2025-01-13,INV0000024,DST001,SP002,OUT00032,SN002,48,9000,0.0607,26222,432000,405778,5400,259200
2025-01-13,INV0000024,DST001,SP002,OUT00032,BV009,30,9000,0.1098,29646,270000,240354,5300,159000
2025-01-18,INV0000025,DST001,SP003,OUT00033,SN009,24,11000,0.0272,7181,264000,256819,6500,156000
2025-01-18,INV0000025,DST001,SP003,OUT00033,BV012,24,9000,0.0091,1966,216000,214034,5500,132000
2025-01-18,INV0000026,DST001,SP004,OUT00034,PC003,102,23000,0.1499,351665,2346000,1994335,13700,1397400
2025-01-18,INV0000026,DST001,SP004,OUT00034,BV001,114,7500,0.1031,88150,855000,766850,4600,524400
2025-01-10,INV0000027,DST001,SP005,OUT00035,SN014,12,10000,0.0475,5700,120000,114300,5900,70800
2025-01-22,INV0000028,DST001,SP004,OUT00039,SN009,6,11000,0.0134,884,66000,65116,6500,39000
2025-01-22,INV0000028,DST001,SP004,OUT00039,SN003,12,9500,0.0273,3112,114000,110888,5600,67200
2025-01-11,INV0000029,DST001,SP005,OUT00040,SN014,18,10000,0.0302,5436,180000,174564,5900,106200
2025-01-11,INV0000029,DST001,SP005,OUT00040,BV015,18,10000,0.0108,1944,180000,178056,6100,109800
2025-01-04,INV0000030,DST001,SP001,OUT00041,BV006,12,9500,0.0106,1208,114000,112792,5800,69600
2025-01-04,INV0000030,DST001,SP001,OUT00041,SN009,12,11000,0.0439,5795,132000,126205,6500,78000
2025-01-04,INV0000030,DST001,SP001,OUT00041,PC013,18,7000,0.0268,3377,126000,122623,4000,72000
2025-01-04,INV0000031,DST001,SP002,OUT00042,SN004,12,9500,0.0389,4435,114000,109565,5700,68400
2025-01-04,INV0000031,DST001,SP002,OUT00042,SN005,18,9500,0.0013,222,171000,170778,5600,100800
2025-01-04,INV0000031,DST001,SP002,OUT00042,PC008,12,16000,0.0373,7162,192000,184838,9300,111600
2025-01-08,INV0000032,DST001,SP003,OUT00043,PC011,42,6500,0.0619,16899,273000,256101,3700,155400
2025-01-08,INV0000032,DST001,SP003,OUT00043,BV003,24,8000,0.0409,7853,192000,184147,4900,117600
2025-01-08,INV0000032,DST001,SP003,OUT00043,SN005,12,9500,0.0537,6122,114000,107878,5600,67200
2025-01-19,INV0000033,DST001,SP004,OUT00044,SN008,6,9500,0.043,2451,57000,54549,5600,33600
2025-01-19,INV0000033,DST001,SP004,OUT00044,PC004,6,24000,0.0396,5702,144000,138298,14300,85800
2025-01-02,INV0000034,DST001,SP005,OUT00045,BV002,54,7500,0.0586,23733,405000,381267,4700,253800
